1033,-0.05,21.66
1045,-0.05,21.66
1056,-0.05,21.66
1067,-0.05,21.66
1078,-0.05,21.66
1089,-0.05,21.66
1100,-0.05,21.66
1111,-0.05,21.66
1122,-0.05,21.66
1133,-0.05,22.22
1144,-0.05,22.22
1155,-0.05,22.22
1166,-0.05,22.22
1177,-0.05,22.22
1188,-0.05,22.22
1199,-0.05,22.22
1210,-0.05,22.22
1221,-0.05,22.22
1232,-0.05,22.22
1243,-0.05,22.84
1254,-0.05,22.84
1265,-0.05,22.84
1276,-0.05,22.84
1287,-0.05,22.84
1298,-0.05,22.84
1309,-0.05,22.84
1320,-0.05,22.84
1331,-0.05,22.84
1342,-0.05,22.84
1353,-0.05,23.47
1364,-0.05,23.47
1375,-0.05,23.47
1386,-0.05,23.47
1397,-0.05,23.47
1408,-0.05,23.47
1419,-0.05,23.47
1430,-0.05,23.47
1441,-0.05,23.47
1452,-0.05,23.47
1463,-0.05,24.09
1474,-0.05,24.09
1485,-0.05,24.09
1496,-0.05,24.09
1507,-0.05,24.09
1518,-0.05,24.09
1529,-0.05,24.09
1540,-0.05,24.09
1551,-0.05,24.09
1562,-0.05,24.09
1573,-0.05,24.72
1584,-0.05,24.72
1595,-0.05,24.72
1606,-0.05,24.72
1617,-0.05,24.72
1628,-0.05,24.72
1639,-0.05,24.72
1650,-0.05,24.72
1661,-0.05,24.72
1672,-0.05,24.72
1683,-0.05,25.34
1694,-0.05,25.34
1705,-0.05,25.34
1716,-0.05,25.34
1727,-0.05,25.34
1738,-0.05,25.34
1749,-0.05,25.34
1760,-0.05,25.34
1771,-0.05,25.34
1782,-0.05,25.34
1793,-0.05,25.97
1804,-0.05,25.97
1815,-0.05,25.97
1826,-0.05,25.97
1837,-0.05,25.97
1848,-0.05,25.97
1859,-0.05,25.97
1870,-0.05,25.97
1881,-0.05,25.97
1892,-0.05,25.97
1903,-0.05,26.59
1914,-0.05,26.59
1925,-0.05,26.59
1936,-0.05,26.59
1947,-0.05,26.59
1958,-0.05,26.59
1969,-0.05,26.59
1980,-0.05,26.59
1991,-0.05,26.59
2002,-0.05,26.59
2013,-0.05,27.22
2024,-0.05,27.22
2035,-0.05,27.22
2046,-0.05,27.22
2057,-0.05,27.22
2068,-0.05,27.22
2079,-0.05,27.22
2090,-0.05,27.22
2101,-0.05,27.22
2112,-0.05,27.22
2123,-0.05,27.84
2134,-0.05,27.84
2145,-0.05,27.84
2156,-0.05,27.84
2167,-0.05,27.84
2178,-0.05,27.84
2189,-0.05,27.84
2200,-0.05,27.84
2211,-0.05,27.84
2222,-0.05,27.84
2233,-0.05,28.47
2244,-0.05,28.47
2255,-0.05,28.47
2266,-0.05,28.47
2277,-0.05,28.47
2288,-0.05,28.47
2299,-0.05,28.47
2310,-0.05,28.47
2321,-0.05,28.47
2332,-0.05,28.47
2343,-0.05,29.09
2354,-0.05,29.09
2365,-0.05,29.09
2376,-0.05,29.09
2387,-0.05,29.09
2398,-0.05,29.09
2409,-0.05,29.09
2420,-0.05,29.09
2431,-0.05,29.09
2442,-0.05,29.09
2453,-0.05,29.72
2464,-0.05,29.72
2475,-0.05,29.72
2486,-0.05,29.72
2497,-0.05,29.72
2508,-0.05,29.72
2519,-0.05,29.72
2530,-0.05,29.72
2541,-0.05,29.72
2552,-0.05,29.72
2563,-0.05,30.34
2574,-0.05,30.34
2585,-0.05,30.34
2596,-0.05,30.34
2607,-0.05,30.34
2618,-0.05,30.34
2629,-0.05,30.34
2640,-0.05,30.34
2651,-0.05,30.34
2662,-0.05,30.34
2673,-0.05,30.97
2684,-0.05,30.97
2695,-0.05,30.97
2706,-0.05,30.97
2717,-0.05,30.97
2728,-0.05,30.97
2739,-0.05,30.97
2750,-0.05,30.97
2761,-0.05,30.97
2772,-0.05,30.97
2783,-0.05,31.59
2794,-0.05,31.59
2805,-0.05,31.59
2816,-0.05,31.59
2827,-0.05,31.59
2838,-0.05,31.59
2849,-0.05,31.59
2860,-0.05,31.59
2871,-0.05,31.59
2882,-0.05,31.59
2893,-0.05,32.21
2904,-0.05,32.21
2915,-0.05,32.21
2926,-0.05,32.21
2937,-0.05,32.21
2948,-0.05,32.21
2959,-0.05,32.21
2970,-0.05,32.21
2981,-0.05,32.21
2992,-0.05,32.21
3003,-0.05,32.84
3014,-0.05,32.84
3025,-0.05,32.84
3036,-0.05,32.84
3047,-0.05,32.84
3058,-0.05,32.84
3069,-0.05,32.84
3080,-0.05,32.84
3091,-0.05,32.84
3102,-0.05,32.84
3113,-0.05,33.46
3124,-0.05,33.46
3135,-0.05,33.46
3146,-0.05,33.46
3157,-0.05,33.46
3168,-0.05,33.46
3179,-0.05,33.46
3190,-0.05,33.46
3201,-0.05,33.46
3212,-0.05,33.46
3223,-0.05,34.09
3234,-0.05,34.09
3245,-0.05,34.09
3256,-0.05,34.09
3267,-0.05,34.09
3278,-0.05,34.09
3289,-0.05,34.09
3300,-0.05,34.09
3311,-0.05,34.09
3322,-0.05,34.09
3333,-0.05,34.71
3344,-0.05,34.71
3355,-0.05,34.71
3366,-0.05,34.71
3377,-0.05,34.71
3388,-0.05,34.71
3399,-0.05,34.71
3410,-0.05,34.71
3421,-0.05,34.71
3432,-0.05,34.71
3443,-0.05,35.34
3454,-0.05,35.34
3465,-0.05,35.34
3476,-0.05,35.34
3487,-0.05,35.34
3498,-0.05,35.34
3509,-0.05,35.34
3520,-0.05,35.34
3531,-0.05,35.34
3542,-0.05,35.34
3553,-0.05,35.96
3564,-0.05,35.96
3575,-0.05,35.96
